ItemID                             Last Harvested             Last Modified              Name                
2f29012d4bc9547324cad4809a3c97c4   2018-07-04T17:35:19.433Z   2018-07-04T14:30:16.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-07-04/153100/61299_001_001_001.mp4
5b4e5d586b29f5a90bcaf5c264b31b28   2018-07-05T14:52:40.054Z   2018-07-05T12:44:56.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-07-05/134545/66974_004_001_001.mp4
cb6ca8f557ddae47fc430f60ed0966f7   2018-06-11T13:55:47.619Z   2018-06-11T10:23:11.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-06-11/112723/bbb_sunflower_1080p_60fps_normal.mp4
e5ec677186520a321d2ee432a3cdb321   2018-07-04T17:53:46.600Z   2018-07-02T09:27:18.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-07-02/092219/62490_002_003_003.mp4
c94b1c48ac332d97fb85afca13981288   2018-07-04T16:41:01.841Z   2018-07-02T09:23:56.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-07-02/092219/59093_001_001_002.mp4
935a9cce98e9197c83605773760a9fb0   2018-07-04T17:18:40.411Z   2018-07-02T09:24:05.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-07-02/092219/59365_223_001_001.mp4
bc2a2a9c346e0dc79e6ecb3ba712c338   2018-07-04T16:52:34.564Z   2018-07-04T14:31:51.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-07-04/153100/61206_001_004_001.mp4
9ed53c21a79ef95ed734b32d484fc092   2018-07-05T14:51:14.966Z   2018-07-05T12:46:15.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-07-05/134545/67587_009_004_001.mp4
f08ff0aecf5f7a8252ce8bad4a9daf95   2018-07-04T16:16:44.259Z   2018-07-02T09:23:25.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-07-02/092219/58221_003_003_002.mp4
4478ca3acefaa045c28d4a336a43b1ee   2018-07-05T14:44:18.663Z   2018-07-05T12:56:21.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-07-05/134545/66335_001_004_001.mp4
e8f0d49d22a017182841699b53242c0b   2018-07-04T17:35:36.257Z   2018-07-02T09:27:51.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-07-02/092219/65691_002_003_001.mp4
136c0076d47b33f4e552a8ed1daa485a   2018-07-05T14:37:08.826Z   2018-07-05T12:54:32.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-07-05/134545/66882_124_002_002.mp4
c2e79d693a3c3408aec2c2cc474315ca   2018-07-04T17:33:09.913Z   2018-07-04T14:33:25.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-07-04/153100/66300_001_003_001.mp4
95ee11fea2f9ee7b0f9c0c80c1b9849a   2018-06-29T16:09:40.053Z   2018-06-18T12:10:30.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-06-18/131417/18_009_001_001.mp4
21e7b26ca12fa1576f5fb5abb699908d   2018-07-04T15:43:46.145Z   2018-07-02T09:22:44.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-07-02/092219/58083_004_002_001.mp4
1f073c19a50b855881e922a044b1011d   2018-07-04T16:04:37.712Z   2018-07-02T09:27:29.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-07-02/092219/63534_001_004_004.mp4
f5a1e60b4a746f2bc127967382c6288b   2018-07-05T14:53:11.232Z   2018-07-05T12:51:29.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-07-05/134545/46761_012_003_002.mp4
a9ac4b575be06d1d0730b8096900d6e1   2018-07-04T17:46:46.178Z   2018-07-02T09:27:09.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-07-02/092219/61670_001_004_003.mp4
30b572510b50fb188eed518ba7db5ac5   2018-07-04T16:37:57.350Z   2018-07-02T09:22:01.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-07-02/092219/56459_001_001_006.mp4
4eec923b0b376da9b081d1fa1c877e3a   2018-07-04T17:16:50.333Z   2018-07-02T09:27:58.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-07-02/092219/66300_001_002_002.mp4
18e6fa646debbc5d85e814a9a3039aea   2018-07-05T14:56:04.811Z   2018-07-05T12:57:26.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-07-05/134545/65691_008_004_001.mp4
19b13e9366e8f3f93f3ddc233023a64c   2018-06-04T12:18:51.285Z   2018-06-04T10:59:49.000Z   aws-c4-contextual-prod-graymeta-content/18_001_001_00abc.mp4
3111d4cdb71b107e420eb62b236f065f   2018-06-11T12:36:41.234Z   2018-06-11T10:21:19.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-06-11/112533/bbb_sunflower_1080p_60fps_normal.mp4
